          	  MERRA
          	      T
          	60_90 N
          	 10 hPa
      Date	    (K)
----------	-------
1979-01-01    205.26
1979-01-02    206.57
1979-01-03    206.59
1979-01-04    205.93
1979-01-05    205.32
1979-01-06    206.13
1979-01-07    206.55
1979-01-08    207.37
1979-01-09    209.06
1979-01-10    209.14
1979-01-11    210.96
1979-01-12    210.70
1979-01-13    207.31
1979-01-14    206.20
1979-01-15    206.40
1979-01-16    206.43
1979-01-17    208.54
1979-01-18    209.19
1979-01-19    209.66
1979-01-20    211.46
1979-01-21    213.52
1979-01-22    218.18
1979-01-23    221.14
1979-01-24    222.94
1979-01-25    225.35
1979-01-26    224.78
1979-01-27    223.22
1979-01-28    222.17
1979-01-29    220.97
1979-01-30    220.14
1979-01-31    220.79
1979-02-01    223.20
1979-02-02    224.13
1979-02-03    226.39
1979-02-04    229.82
1979-02-05    232.87
1979-02-06    235.73
1979-02-07    236.16
1979-02-08    234.63
1979-02-09    233.37
1979-02-10    231.79
1979-02-11    231.10
1979-02-12    229.37
1979-02-13    227.82
1979-02-14    226.71
1979-02-15    224.96
1979-02-16    223.37
1979-02-17    222.14
1979-02-18    220.59
1979-02-19    222.07
1979-02-20    224.19
1979-02-21    226.63
1979-02-22    229.00
1979-02-23    229.39
1979-02-24    230.05
1979-02-25    232.41
1979-02-26    234.51
1979-02-27    235.18
1979-02-28    233.35
1979-03-01    230.95
1979-03-02    228.61
1979-03-03    226.57
1979-03-04    225.23
1979-03-05    224.15
1979-03-06    223.58
1979-03-07    223.45
1979-03-08    223.41
1979-03-09    223.49
1979-03-10    223.08
1979-03-11    222.68
1979-03-12    221.91
1979-03-13    221.04
1979-03-14    220.90
1979-03-15    220.27
1979-03-16    220.07
1979-03-17    220.11
1979-03-18    219.75
1979-03-19    219.80
1979-03-20    219.61
1979-03-21    219.61
1979-03-22    219.86
1979-03-23    219.95
1979-03-24    219.84
1979-03-25    219.96
1979-03-26    219.99
1979-03-27    220.23
1979-03-28    220.43
1979-03-29    220.46
1979-03-30    220.36
1979-03-31    220.21
1979-04-01    220.52
1979-04-02    220.26
1979-04-03    220.59
1979-04-04    220.78
1979-04-05    221.26
1979-04-06    221.46
1979-04-07    221.31
1979-04-08    220.92
1979-04-09    221.40
1979-04-10    221.61
1979-04-11    221.94
1979-04-12    222.38
1979-04-13    222.89
1979-04-14    223.18
1979-04-15    223.56
1979-04-16    223.71
1979-04-17    224.00
1979-04-18    224.26
1979-04-19    224.65
1979-04-20    224.82
1979-04-21    224.66
1979-04-22    225.47
1979-04-23    225.90
1979-04-24    226.04
1979-04-25    226.49
1979-04-26    227.09
