,Tempo,1A,2A,3A,4A,5A,6A,7A,8A,9A,10A,11A,12A
0,1741,,0.597,,,,,,,,,,
1,1742,,0.8,,,,,,,,,,
2,1743,,1.55,,,,,,,,,,
3,1744,,1.21733,,,,,,,,,,
4,1745,,1.4140000000000001,,,,,,,,,,
5,1746,,1.4043299999999999,,,,,,,,,,
6,1747,,1.5593299999999999,,,,,,,,,,
7,1748,,1.577,,,,,,,,,,
8,1749,,1.68067,,,,,,,,,,
9,1750,,1.7146700000000001,,,,,,,,,,
10,1751,,1.893,,,,,,,,,,
11,1752,,1.851,,,,,,,,,,
12,1753,,1.473,,,,,,,,,,
13,1754,,2.21233,,,,,,,,,,
14,1755,,1.94133,,,,,,,,,,
15,1756,,2.15433,,,,,,,,,,
16,1757,0.7609999999999999,2.355,,,,,,,,,,
17,1758,1.0165,2.17967,,,,,,,,,,
18,1759,1.0255,2.318,,,,,,,,,,
19,1760,1.2515,2.12,,,,,,,,,,
20,1761,0.9225,1.652,,,,,,,,,,
21,1762,1.396,0.89833,,,,,,,,,,
22,1763,1.4280000000000002,1.42933,,,,,,,,,,
23,1764,1.561,1.74367,,,,,,,,,,
24,1765,1.75,2.40267,,,,,,,,,,
25,1766,1.89,2.28967,,,,,,,,,,
26,1767,1.541,2.56067,,,,,,,,,,
27,1768,1.514,2.66167,,,,,,,,,,
28,1769,2.356,3.3386699999999996,,,,,,,,,,
29,1770,2.1225,1.96133,,,,,,,,,,
30,1771,1.7835,2.45,,,,,,,,,,
31,1772,1.646,2.41,,,,,,,,,,
32,1773,1.8765,3.02967,,,,,,,,,,
33,1774,2.2640000000000002,3.6116699999999997,,,,,,,,,,
34,1775,2.6525,3.4866699999999997,,,,,,,,,,
35,1776,2.1205,3.3603300000000003,,,,,,,,,,
36,1777,2.9330000000000003,3.391,,0.51267,,,,,,,,
37,1778,2.43,3.4833300000000005,,0.49,,,,,,,,
38,1779,3.1415,4.38,,0.43833,,,,,,,,
39,1780,3.6415,3.5003300000000004,,0.589,,,,,,,,
40,1781,4.6475,3.4636699999999996,,0.63467,,,,,,,,
41,1782,1.2985,3.549,,0.851,,,,,,,,
42,1783,0.467,3.102,,0.8726700000000001,,,,,,,,
43,1784,1.555,2.8166700000000002,,0.85167,,,,,,,,
44,1785,2.8789999999999996,3.0389999999999997,,0.919,,,,,,,,
45,1786,3.306,3.1039999999999996,,0.83767,,,,,,,,
46,1787,4.7885,3.4360000000000004,,0.81,,,,,,,,
47,1788,3.8789999999999996,3.938,,0.91433,,,,,,,,
48,1789,4.196000000000001,4.04833,,0.8683299999999999,,,,,,,,
49,1790,6.0729999999999995,3.283,,0.84167,,,,,,,,
50,1791,5.9479999999999995,3.003,,1.05033,,,,,,,,
51,1792,5.018,2.99333,,0.867,,,,,,,,
52,1793,4.1355,3.00333,,0.9309999999999999,,,,,,,,
53,1794,4.6075,3.5106699999999997,,0.73233,,,,,,,,
54,1795,5.1975,3.9163300000000003,,0.48200000000000004,,,,,,,,
55,1796,4.1265,5.359,,0.16867000000000001,,,,,,,,
56,1797,4.336,4.845330000000001,,0.32333,,,,,,,,
57,1798,3.6315,3.3186699999999996,,0.228,,,,,,,,
58,1799,4.1845,2.116,,0.27399999999999997,,,,,,,,
59,1800,4.7975,2.544,,0.26233,,,,,,,,
60,1801,6.4755,2.41967,,0.30367,,,,,,,,
61,1802,6.252999999999999,1.689,,0.30767,,,,,,,,
62,1803,5.3745,1.494,,0.45833,,,,,,,,
63,1804,4.3595,2.10033,,0.6126699999999999,,,,,,,,
64,1805,3.3360000000000003,2.57767,,0.45266999999999996,,,,,,,,
65,1806,2.2315,1.9080000000000001,,1.266,,,,,,,,
66,1807,1.474,2.383,,1.143,,,,,,,,
67,1808,1.6340000000000001,3.4876699999999996,,0.71667,,,,,,,,
68,1809,1.9785,4.27233,,0.7583300000000001,,,,,,,,
69,1810,2.1715,3.16867,,0.8553299999999999,,,,,,,,
70,1811,1.883,2.40667,,0.6609999999999999,,,,,,,,
71,1812,2.1355,2.7116700000000002,,0.35933000000000004,,,,,,,,
72,1813,2.4415,2.66367,,0.49567,,,,,,,,
73,1814,2.9615,3.12033,,0.6303300000000001,,,,,,,,
74,1815,3.5205,3.417,,0.36200000000000004,,,,,,,,
75,1816,2.8335,3.648,,0.42867,,,,,,,,
76,1817,2.4345,3.4233300000000004,,0.47833000000000003,,,,,,,,
77,1818,2.261,2.91467,,0.61633,,,,,,,,
78,1819,2.6335,2.79333,,0.29867,,,,,,,,
79,1820,3.2915,3.02367,,0.386,,,,,,,,
80,1821,3.853,3.11167,,0.49833,,,,,,,,
81,1822,4.1585,2.5269999999999997,,0.42067,,,,,,,,
82,1823,4.1125,2.06633,,0.74,,,,,,,,
83,1824,4.1775,1.729,,1.03633,,,,,,,,
84,1825,3.5589999999999997,2.09633,,0.65133,,,,,,,,
85,1826,2.696,1.31033,,0.53567,,,,,,,,
86,1827,1.2,1.35633,,0.68733,,,,,,,,
87,1828,0.8445,2.43367,,0.76,,,,,,,,
88,1829,0.493,4.602,,0.42767,,,,,,,,
89,1830,0.898,4.4156699999999995,,0.36167,,,,,,,,
90,1831,1.3035,3.069,,0.6859999999999999,,,,,,,,
91,1832,1.5375,2.41367,,1.03233,,,,,,,,
92,1833,1.412,3.2643299999999997,,0.60033,,,,,,,,
93,1834,1.482,2.75,,0.31733,,,,,,,,
94,1835,1.9535,2.2843299999999997,,0.435,,,,,,,,
95,1836,1.8519999999999999,1.5413299999999999,,0.872,,,,,,,,
96,1837,1.3205,1.025,,2.1180000000000003,,,,,,,,
97,1838,0.9065,1.031,,1.081,,,,,,,,
98,1839,0.7055,1.51767,,0.638,,,,,,,,
99,1840,0.532,1.9980000000000002,,1.05667,,,,,,,,
100,1841,0.4075,2.16033,,0.365,,,,,,,,
101,1842,0.2875,2.478,,0.44566999999999996,,,,,,,,
102,1843,0.3185,2.374,,1.08233,,,,,,,,
103,1844,0.467,2.27767,,1.63067,,,,,,,,
104,1845,0.8059999999999999,2.06167,,1.29633,,,,,,,,
105,1846,0.902,1.5656700000000001,,0.73633,,,,,,,,
106,1847,0.946,1.597,,0.81433,,,,,,,,
107,1848,0.9845,1.76233,,0.44233,,,,,,,,
108,1849,1.167,3.0263299999999997,,0.34033,,,,,,,,
109,1850,1.4915,4.07733,,1.2186700000000001,,,,,,,,
110,1851,1.0245,4.14233,,1.531,,,,,,,,
111,1852,1.318,3.5483300000000004,,0.68967,,,,,,,,
112,1853,0.8690000000000001,3.6083300000000005,,0.39466999999999997,,,,,,,,
113,1854,0.5605,2.08867,,0.77967,,,,,,,,
114,1855,0.4355,1.08667,,0.63567,,,,,,,,
115,1856,0.4265,1.16933,,1.29033,,,,,,,,
116,1857,0.7565,0.9,,1.1403299999999998,,,,,,,,
117,1858,1.135,1.27967,,0.907,,,,,,,,
118,1859,1.143,1.2366700000000002,,0.36433000000000004,,,,,,,,
119,1860,1.2565,1.2453299999999998,,0.6363300000000001,,,,,,,,
120,1861,0.9915,1.64133,,1.5433299999999999,,,,,,,,
121,1862,0.7055,1.0796700000000001,,1.82733,,,,,,,,
122,1863,0.7495,0.70467,,1.39867,,,,,,,,
123,1864,0.47600000000000003,0.968,,1.05633,,,,,,,,
124,1865,0.3195,1.6763299999999999,,1.199,,,,,,,,
125,1866,0.3495,2.42667,,1.25167,,,,,,,,
126,1867,0.3155,1.75967,,3.40233,,,,,,,,
127,1868,0.32299999999999995,1.524,,2.50367,,,,,,,,
128,1869,0.349,0.72467,,0.67267,,,,,,,,
129,1870,0.3785,0.44067,,0.54167,,,,,,,,
130,1871,0.41700000000000004,0.53833,,0.66633,,,,,,,,
131,1872,0.381,0.9583299999999999,,0.831,,,,,,,,
132,1873,0.535,0.8866700000000001,,0.7573300000000001,,,,,,,,
133,1874,0.4205,1.063,,0.74433,,,,,,,,
134,1875,0.59,1.2813299999999999,,0.37933,,,,,,,,
135,1876,0.3395,1.5630000000000002,,0.41367,,,,,,,,
136,1877,0.2755,1.92667,,0.49767,,,,,,,,
137,1878,0.32,1.45967,,1.6203299999999998,,,,,,,,
138,1879,0.3015,1.198,,0.45533,,,,,,,,
139,1880,0.209,1.094,,0.56833,,,,,,,,
140,1881,0.2265,1.084,,0.609,,,,,,,,
141,1882,0.2195,1.0046700000000002,,0.75333,,,,,,,,
142,1883,0.23,1.40367,,1.0093299999999998,,,,,,,,
143,1884,0.3415,1.20333,,0.9570000000000001,,,,,,,,
144,1885,0.324,1.2309999999999999,,1.8896700000000002,,,,,,,,
145,1886,0.4135,1.19,,2.2763299999999997,,,,,,,,
146,1887,0.371,0.851,,0.98667,,,,,,,,
147,1888,0.4215,1.1196700000000002,,1.157,,,,,,,,
148,1889,0.4675,0.9346700000000001,,1.7526700000000002,,,,,,,,
149,1890,0.507,0.84567,,1.5730000000000002,,,,,,,,
150,1891,0.353,0.7603300000000001,,2.25067,,,,,,,,
151,1892,0.5855,0.83167,,2.12967,,,,,,,,
152,1893,0.488,0.81767,,2.86733,,,,,,,,
153,1894,0.6609999999999999,0.95667,,2.46067,,,,,,,,
154,1895,0.506,1.0126700000000002,,1.19733,,,,,,,,
155,1896,0.3145,1.254,,1.5573299999999999,,,,,,,,
156,1897,0.5185,1.3093299999999999,,1.92667,,,,,,,,
157,1898,0.408,1.19733,,1.43367,,,,,,,,
158,1899,0.27899999999999997,0.9009999999999999,,2.07767,,,,,,,,
159,1900,0.3015,0.89233,,1.2770000000000001,,,,,,,,
160,1901,0.35700000000000004,0.79633,,2.45333,,,,,,,,
161,1902,0.3485,0.8856700000000001,,2.25433,,,,,,,,
162,1903,0.3295,1.185,,2.39633,,,,,,,,
163,1904,0.294,0.8956700000000001,,1.78767,,,,,,,,
164,1905,0.3895,0.9853299999999999,,1.55633,,,,,,,,
165,1906,0.3035,1.182,,0.907,,,,,,,,
166,1907,0.363,0.6136699999999999,,1.2329999999999999,,,,,,,,
167,1908,0.2825,0.58433,,2.9619999999999997,,,,,,,,
168,1909,0.299,0.8246700000000001,,5.06367,,,,,,,,
169,1910,0.3835,1.0373299999999999,,1.91933,,,,,,,,
170,1911,0.4815,0.80667,,3.96967,,,,,,,,
171,1912,0.5035,1.3133299999999999,,3.9760000000000004,,,,,,,,
172,1913,0.4705,1.136,,4.45033,,,,,,,,
173,1914,0.5025,0.91,,4.361330000000001,,,,,,,,
174,1915,0.3355,0.84,,4.814,,,,,,,,
175,1916,0.281,0.42133000000000004,,3.5723300000000004,,,,,,,,
