Tempo	Media
1741	0.597
1742	0.8
1743	1.55
1744	1.21733
1745	1.414
1746	1.40433
1747	1.55933
1748	1.577
1749	1.68067
1750	1.71467
1751	1.893
1752	1.851
1753	1.473
1754	2.21233
1755	1.94133
1756	2.15433
1757	1.558
1758	1.59808
1759	1.67175
1760	1.68575
1761	1.28725
1762	1.14716
1763	1.42867
1764	1.65234
1765	2.07633
1766	2.08983
1767	2.05084
1768	2.08784
1769	2.84734
1770	2.04191
1771	2.11675
1772	2.028
1773	2.45309
1774	2.93784
1775	3.06959
1776	2.74042
1777	2.27889
1778	2.13444
1779	2.65328
1780	2.57694
1781	2.91528
1782	1.8995
1783	1.48056
1784	1.74111
1785	2.279
1786	2.41589
1787	3.0115
1788	2.91044
1789	3.03755
1790	3.39922
1791	3.33378
1792	2.95944
1793	2.68994
1794	2.95017
1795	3.19861
1796	3.21806
1797	3.16822
1798	2.39272
1799	2.1915
1800	2.53461
1801	3.06628
1802	2.74989
1803	2.44228
1804	2.3575
1805	2.12211
1806	1.80183
1807	1.66667
1808	1.94611
1809	2.33639
1810	2.06517
1811	1.65022
1812	1.7355
1813	1.86695
1814	2.23739
1815	2.43317
1816	2.30339
1817	2.11205
1818	1.93067
1819	1.9085
1820	2.23372
1821	2.48767
1822	2.36872
1823	2.30628
1824	2.31428
1825	2.10222
1826	1.514
1827	1.08122
1828	1.34606
1829	1.84089
1830	1.89178
1831	1.68617
1832	1.66117
1833	1.75889
1834	1.51644
1835	1.55761
1836	1.42178
1837	1.48783
1838	1.00617
1839	0.95372
1840	1.19556
1841	0.97761
1842	1.07039
1843	1.25828
1844	1.45845
1845	1.388
1846	1.068
1847	1.11911
1848	1.06305
1849	1.51122
1850	2.2625
1851	2.23261
1852	1.852
1853	1.624
1854	1.14295
1855	0.71928
1856	0.96205
1857	0.93228
1858	1.10722
1859	0.91467
1860	1.04605
1861	1.39205
1862	1.20417
1863	0.95095
1864	0.83344
1865	1.06494
1866	1.34261
1867	1.82583
1868	1.45022
1869	0.58211
1870	0.45361
1871	0.54055
1872	0.72344
1873	0.72633
1874	0.74261
1875	0.75022
1876	0.77206
1877	0.89995
1878	1.13333
1879	0.65161
1880	0.62378
1881	0.63983
1882	0.65917
1883	0.881
1884	0.83394
1885	1.14822
1886	1.29328
1887	0.73622
1888	0.89939
1889	1.05161
1890	0.97522
1891	1.12133
1892	1.18228
1893	1.391
1894	1.35945
1895	0.90533
1896	1.04194
1897	1.2515
1898	1.013
1899	1.08589
1900	0.82361
1901	1.20222
1902	1.16283
1903	1.30361
1904	0.99245
1905	0.97705
1906	0.7975
1907	0.73656
1908	1.27628
1909	2.06245
1910	1.11339
1911	1.75261
1912	1.93094
1913	2.01894
1914	1.92461
